"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Sector Name","Sector Code","Counterpart Sector Name","Counterpart Sector Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Category","Main",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Dataset","Coordinated Portfolio Investment Survey (CPIS)",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Definition","The Coordinated Portfolio Investment Survey (CPIS) is a voluntary data collection exercise conducted under the auspices of the IMF. An economy provides data on its holdings of portfolio investment securities (data are separately requested for equity and investment fund shares, long-term debt instruments, and short-term debt instruments).",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Frequency","Semi-annual",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Geographic Coverage","Data available for 80 reporting economies",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Latest Update Date","02/14/2025",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Methodology","<a href=""http://www.imf.org/external/pubs/ft/cpis/2002/pdf/cpis_index.pdf"">CPIS Guide, second edition</a>",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Sectoral Coverage","External Sector",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Tag","Home Page",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Temporal Coverage","Annual data beginning 2001 and semiannual data beginning 2013",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","","","","","","","","","","","Update Frequency","Semi-annual",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Afghanistan, Islamic Rep. of","512","","","","","","","","","Country Code","512",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Afghanistan, Islamic Rep. of","512","","","","","","","","","Country Full Name","Afghanistan, Islamic Republic of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Afghanistan, Islamic Rep. of","512","","","","","","","","","Country ISO 2 Code","AF",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Afghanistan, Islamic Rep. of","512","","","","","","","","","Country ISO 3 Code","AFG",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Afghanistan, Islamic Rep. of","512","","","","","","","","","Country Name","Afghanistan, Islamic Rep. of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Afghanistan, Islamic Rep. of","512","","","","","","","","","Country SDMX Code","AF",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Afghanistan, Islamic Rep. of","512","","","","","","","","","Country SDMX Name","Afghanistan",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Afghanistan, Islamic Rep. of","512","","","","","","","","","Country Short Name","Afghanistan",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Albania","914","","","","","","","","","Country Code","914",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Albania","914","","","","","","","","","Country Full Name","Albania",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Albania","914","","","","","","","","","Country ISO 2 Code","AL",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Albania","914","","","","","","","","","Country ISO 3 Code","ALB",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Albania","914","","","","","","","","","Country Name","Albania",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Albania","914","","","","","","","","","Country SDMX Code","AL",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Albania","914","","","","","","","","","Country SDMX Name","Albania",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Albania","914","","","","","","","","","Country Short Name","Albania",""
