Date;Price
04/17/2025;16.876,10
04/16/2025;16.812,30
04/15/2025;16.810,00
04/14/2025;16.770,00
04/11/2025;16.790,00
04/10/2025;16.795,00
04/09/2025;16.860,00
04/08/2025;16.860,00
04/07/2025;16.555,00
04/04/2025;16.555,00
04/03/2025;16.555,00
04/02/2025;16.555,00
04/01/2025;16.555,00
03/31/2025;16.555,00
03/28/2025;16.555,00
03/27/2025;16.555,00
03/26/2025;16.575,00
03/25/2025;16.590,00
03/24/2025;16.550,00
03/21/2025;16.495,00
03/20/2025;16.470,00
03/19/2025;16.520,00
03/18/2025;16.420,00
03/17/2025;16.395,00
03/14/2025;16.345,00
03/13/2025;16.420,00
03/12/2025;16.440,00
03/11/2025;16.400,00
03/10/2025;16.335,00
03/07/2025;16.290,00
03/06/2025;16.325,00
03/05/2025;16.310,00
03/04/2025;16.440,00
03/03/2025;16.475,00
02/28/2025;16.575,00
02/27/2025;16.445,00
02/26/2025;16.365,00
02/25/2025;16.340,00
02/24/2025;16.270,00
02/21/2025;16.300,00
02/20/2025;16.325,00
02/19/2025;16.330,00
02/18/2025;16.270,00
02/17/2025;16.210,00
02/14/2025;16.255,00
02/13/2025;16.350,00
02/12/2025;16.360,00
02/11/2025;16.370,00
02/10/2025;16.340,00
02/07/2025;16.270,00
02/06/2025;16.325,00
02/05/2025;16.280,00
02/04/2025;16.340,00
02/03/2025;16.430,00
01/31/2025;16.295,00
01/30/2025;16.255,00
01/29/2025;16.170,00
01/28/2025;16.170,00
01/27/2025;16.170,00
01/24/2025;16.170,00
01/23/2025;16.275,00
01/22/2025;16.280,00
01/21/2025;16.330,00
01/20/2025;16.355,00
01/17/2025;16.360,00
01/16/2025;16.355,00
01/15/2025;16.315,00
01/14/2025;16.260,00
01/13/2025;16.270,00
01/10/2025;16.180,00
01/09/2025;16.195,00
01/08/2025;16.190,00
01/07/2025;16.125,00
01/06/2025;16.190,00
01/03/2025;16.185,00
01/02/2025;16.190,00
01/01/2025;16.090,00
12/31/2024;16.090,00
12/30/2024;16.130,00
12/27/2024;16.230,00
12/26/2024;16.185,00
12/25/2024;16.185,00
12/24/2024;16.185,00
12/23/2024;16.170,00
12/20/2024;16.190,00
12/19/2024;16.285,00
12/18/2024;16.085,00
12/17/2024;16.060,00
12/16/2024;15.995,00
12/13/2024;15.990,00
12/12/2024;15.920,00
12/11/2024;15.910,00
12/10/2024;15.860,00
12/09/2024;15.860,00
12/06/2024;15.845,00
12/05/2024;15.855,00
12/04/2024;15.925,00
12/03/2024;15.935,00
12/02/2024;15.895,00
11/29/2024;15.840,00
11/28/2024;15.865,00
11/27/2024;15.925,00
11/26/2024;15.925,00
11/25/2024;15.865,00
11/22/2024;15.870,00
11/21/2024;15.920,00
11/20/2024;15.860,00
11/19/2024;15.825,00
11/18/2024;15.845,00
11/15/2024;15.850,00
11/14/2024;15.850,00
11/13/2024;15.770,00
11/12/2024;15.775,00
11/11/2024;15.675,00
11/08/2024;15.665,00
11/07/2024;15.730,00
11/06/2024;15.825,00
11/05/2024;15.730,00
11/04/2024;15.750,00
11/01/2024;15.715,00
10/31/2024;15.690,00
10/30/2024;15.690,00
10/29/2024;15.755,00
10/28/2024;15.720,00
10/25/2024;15.635,00
10/24/2024;15.575,00
10/23/2024;15.615,00
10/22/2024;15.555,00
10/21/2024;15.490,00
10/18/2024;15.460,00
10/17/2024;15.490,00
10/16/2024;15.505,00
10/15/2024;15.575,00
10/14/2024;15.555,00
10/11/2024;15.575,00
10/10/2024;15.660,00
10/09/2024;15.615,00
10/08/2024;15.640,00
10/07/2024;15.675,00
10/04/2024;15.480,00
10/03/2024;15.415,00
10/02/2024;15.260,00
10/01/2024;15.195,00
09/30/2024;15.135,00
09/27/2024;15.120,00
09/26/2024;15.160,00
09/25/2024;15.095,00
09/24/2024;15.180,00
09/23/2024;15.195,00
09/20/2024;15.145,00
09/19/2024;15.230,00
09/18/2024;15.330,00
09/17/2024;15.330,00
09/16/2024;15.393,10
09/13/2024;15.395,00
09/12/2024;15.425,00
09/11/2024;15.395,00
09/10/2024;15.445,00
09/09/2024;15.450,00
09/06/2024;15.360,00
09/05/2024;15.395,00
09/04/2024;15.470,00
09/03/2024;15.520,00
09/02/2024;15.520,00
08/30/2024;15.450,00
08/29/2024;15.410,00
08/28/2024;15.420,00
08/27/2024;15.490,00
08/26/2024;15.425,00
08/23/2024;15.485,00
08/22/2024;15.595,00
08/21/2024;15.480,00
08/20/2024;15.430,00
08/19/2024;15.545,00
08/16/2024;15.685,00
08/15/2024;15.690,00
08/14/2024;15.675,00
08/13/2024;15.830,00
08/12/2024;15.950,00
08/09/2024;15.920,00
08/08/2024;15.890,00
08/07/2024;16.030,00
08/06/2024;16.160,00
08/05/2024;16.180,00
08/02/2024;16.195,00
08/01/2024;16.230,00
07/31/2024;16.255,00
07/30/2024;16.295,00
07/29/2024;16.275,00
07/26/2024;16.285,00
07/25/2024;16.245,00
07/24/2024;16.210,00
07/23/2024;16.205,00
07/22/2024;16.215,00
07/19/2024;16.185,00
07/18/2024;16.150,00
07/17/2024;16.095,00
07/16/2024;16.175,00
07/15/2024;16.165,00
07/12/2024;16.135,00
07/11/2024;16.190,00
07/10/2024;16.235,00
07/09/2024;16.245,00
07/08/2024;16.250,00
07/05/2024;16.275,00
07/04/2024;16.325,00
07/03/2024;16.365,00
07/02/2024;16.390,00
07/01/2024;16.320,00
06/28/2024;16.370,00
06/27/2024;16.395,00
06/26/2024;16.400,00
06/25/2024;16.370,00
06/24/2024;16.390,00
06/21/2024;16.445,00
06/20/2024;16.425,00
06/19/2024;16.360,00
06/18/2024;16.376,10
06/17/2024;16.486,00
06/14/2024;16.395,00
06/13/2024;16.265,00
06/12/2024;16.290,00
06/11/2024;16.285,00
06/10/2024;16.275,00
06/07/2024;16.190,00
06/06/2024;16.255,00
06/05/2024;16.280,00
06/04/2024;16.215,00
06/03/2024;16.225,00
05/31/2024;16.245,00
05/30/2024;16.255,00
05/29/2024;16.155,00
05/28/2024;16.085,00
05/27/2024;16.060,00
05/24/2024;16.045,00
05/23/2024;16.102,30
05/22/2024;15.990,00
05/21/2024;15.990,00
05/20/2024;15.970,00
05/17/2024;15.950,00
05/16/2024;15.920,00
05/15/2024;16.025,00
05/14/2024;16.090,00
05/13/2024;16.075,00
05/10/2024;16.058,90
05/09/2024;16.026,00
05/08/2024;16.040,00
05/07/2024;16.040,00
05/06/2024;16.020,00
05/03/2024;16.080,00
05/02/2024;16.180,00
05/01/2024;16.193,60
04/30/2024;16.255,00
04/29/2024;16.250,00
04/26/2024;16.205,00
04/25/2024;16.185,00
04/24/2024;16.150,00
04/23/2024;16.215,00
04/22/2024;16.230,00
04/19/2024;16.250,00
04/18/2024;16.170,00
04/17/2024;16.215,00
04/16/2024;16.170,00
04/15/2024;16.116,70
04/12/2024;16.117,00
04/11/2024;16.031,00
04/10/2024;15.998,00
04/09/2024;15.899,00
04/08/2024;15.925,00
04/05/2024;15.840,00
04/04/2024;15.890,00
04/03/2024;15.915,00
04/02/2024;15.895,00
04/01/2024;15.885,00
03/29/2024;15.880,00
03/28/2024;15.850,00
03/27/2024;15.850,00
03/26/2024;15.785,00
03/25/2024;15.795,00
03/22/2024;15.775,00
03/21/2024;15.655,00
03/20/2024;15.710,00
03/19/2024;15.710,00
03/18/2024;15.685,00
03/15/2024;15.590,00
03/14/2024;15.575,00
03/13/2024;15.570,00
03/12/2024;15.561,00
03/11/2024;15.525,00
03/08/2024;15.585,00
03/07/2024;15.650,00
03/06/2024;15.695,00
03/05/2024;15.765,00
03/04/2024;15.735,00
03/01/2024;15.695,00
02/29/2024;15.710,00
02/28/2024;15.680,00
02/27/2024;15.635,00
02/26/2024;15.625,00
02/23/2024;15.590,00
02/22/2024;15.585,00
02/21/2024;15.630,00
02/20/2024;15.655,00
02/19/2024;15.625,00
02/16/2024;15.615,00
02/15/2024;15.615,00
02/14/2024;15.632,00
02/13/2024;15.590,00
02/12/2024;15.590,00
02/09/2024;15.611,50
02/08/2024;15.665,00
02/07/2024;15.630,00
